MV,#genre#
谢雷-出日头,http://em.21dtv.com/songs/60012956.mkv
龙千玉-唱人生,http://em.21dtv.com/songs/60117421.mkv
YUI-che r ry,http://em.21dtv.com/songs/60032597.mkv
ALLISON-凑热闹,http://em.21dtv.com/songs/60087177.mkv
BY2-凑热闹(演唱会),http://em.21dtv.com/songs/60013595.mkv
刘贤维-成人礼,http://em.21dtv.com/songs/60093641.mkv
朴志胤-成人礼,http://em.21dtv.com/songs/60012571.mkv
AT17-成人礼(演唱会),http://em.21dtv.com/songs/60012570.mkv
谢安琪-愁人节,http://em.21dtv.com/songs/60012895.mkv
刘浩龙-愁人节,http://em.21dtv.com/songs/60012894.mkv
刘浩龙-愁人节(演唱会),http://em.21dtv.com/songs/60012893.mkv
谢安琪-愁人节(HD演唱会),http://em.21dtv.com/songs/60012892.mkv
法瑷-承认吧(无原唱),http://em.21dtv.com/songs/60012605.mkv
BRIAN MCFADDEN-chemical rush,http://em.21dtv.com/songs/60061968.mkv
贾青-痴情冢,http://em.21dtv.com/songs/60114804.mkv
沈建豪-痴情债,http://em.21dtv.com/songs/60099366.mkv
贾青-痴情冢,http://em.21dtv.com/songs/60097106.mkv
黑豹乐队-朝前走,http://em.21dtv.com/songs/60012424.mkv
苏永康-春去也,http://em.21dtv.com/songs/60065910.mkv
王瑞霞-纯情雨,http://em.21dtv.com/songs/60013397.mkv
方瑞娥-痴情雨,http://em.21dtv.com/songs/60012743.mkv
陈奕迅-猜情寻,http://em.21dtv.com/songs/60011873.mkv
海龟先生-草裙舞,http://em.21dtv.com/songs/60064037.mkv
何韵诗-痴情司,http://em.21dtv.com/songs/60062446.mkv
周迅+梁朝伟-猜情人,http://em.21dtv.com/songs/60064026.mkv
林玉英-痴情人(无原唱),http://em.21dtv.com/songs/60012726.mkv
陈雷-纯情曲(无原唱),http://em.21dtv.com/songs/60015734.mkv
范晓萱-出气球,http://em.21dtv.com/songs/60012947.mkv
张玮-春秋配,http://em.21dtv.com/songs/60113488.mkv
谢宜君-痴情女,http://em.21dtv.com/songs/60127403.mkv
王喜-踩亲你,http://em.21dtv.com/songs/60092976.mkv
李雨-从前慢,http://em.21dtv.com/songs/60128097.mkv
刘欢-从前慢,http://em.21dtv.com/songs/60109184.mkv
刘欢-从前慢,http://em.21dtv.com/songs/60108343.mkv
黄小青-纯情梦(无原唱),http://em.21dtv.com/songs/60094635.mkv
叶启田-纯情梦(无原唱),http://em.21dtv.com/songs/60077488.mkv
扬哲-痴情梦,http://em.21dtv.com/songs/60070592.mkv
佚名-纯情梦(无原唱),http://em.21dtv.com/songs/60013391.mkv
傅振辉+黄思婷-痴情梦,http://em.21dtv.com/songs/60012720.mkv
王晓敏-痴情泪,http://em.21dtv.com/songs/60112110.mkv
金岩-唱起来,http://em.21dtv.com/songs/60084971.mkv
陈浩德+吕珊-痴情泪(演唱会),http://em.21dtv.com/songs/60074948.mkv
蔡琴-痴情泪,http://em.21dtv.com/songs/60012719.mkv
倪安东-藏起来,http://em.21dtv.com/songs/60012050.mkv
张蓉蓉-痴情酒,http://em.21dtv.com/songs/60012717.mkv
白冰冰-痴情酒,http://em.21dtv.com/songs/60012716.mkv
江蕙-痴情花,http://em.21dtv.com/songs/60095747.mkv
佚名-痴情花,http://em.21dtv.com/songs/60012713.mkv
伍卫国-痴情恨(演唱会),http://em.21dtv.com/songs/60012710.mkv
郑仲茵+罗文聪-痴情汉,http://em.21dtv.com/songs/60012708.mkv
马珂-楚情歌,http://em.21dtv.com/songs/60117383.mkv
儿歌-猜拳歌,http://em.21dtv.com/songs/60090644.mkv
阿轮-痴情关,http://em.21dtv.com/songs/60074945.mkv
孙淑媚-痴情歌,http://em.21dtv.com/songs/60012705.mkv
童唱-猜拳歌(无原唱),http://em.21dtv.com/songs/60011875.mkv
张秀卿+蔡小虎-痴情胆,http://em.21dtv.com/songs/60012690.mkv
董贞-苍穹变,http://em.21dtv.com/songs/60118021.mkv
罗志祥-操盘手(演唱会),http://em.21dtv.com/songs/60012054.mkv
童唱-country park ride,http://em.21dtv.com/songs/60001051.mkv
毛阿敏-闯平川,http://em.21dtv.com/songs/60013203.mkv
USHER-confessions part 2,http://em.21dtv.com/songs/60001019.mkv
HEART-crazy on you,http://em.21dtv.com/songs/60001068.mkv
CHRISTINA AGUILERA-come on over,http://em.21dtv.com/songs/60000996.mkv
佚名-come on over(无原唱),http://em.21dtv.com/songs/60000995.mkv
CONNIE TALBOT-count on me,http://em.21dtv.com/songs/60073078.mkv
BRUNO MARS-count on me,http://em.21dtv.com/songs/60073077.mkv
孙耀威-count on me,http://em.21dtv.com/songs/60060780.mkv
WHITNEY HOUSTON+CECE-count on me,http://em.21dtv.com/songs/60001049.mkv
ENGELBERT HUMPERDINC-call on me,http://em.21dtv.com/songs/60000781.mkv
藤木直人-crime of love,http://em.21dtv.com/songs/60001084.mkv
ELTON JOHN-circle of life,http://em.21dtv.com/songs/60000943.mkv
