MV,#genre#
张伟文-安平追想曲,http://em.21dtv.com/songs/60056830.mkv
佚名-安平追想曲,http://em.21dtv.com/songs/60009327.mkv
邓丽君-安平追想曲,http://em.21dtv.com/songs/60009326.mkv
谢雷-安平追想曲(演唱会),http://em.21dtv.com/songs/60009325.mkv
吴灿涛-爱拼正会赢,http://em.21dtv.com/songs/60106683.mkv
吴俊飞+朱振铭-啊朋友再见,http://em.21dtv.com/songs/60118442.mkv
侃侃-阿朋友再见,http://em.21dtv.com/songs/60116555.mkv
张伟进+孙国庆-啊朋友再见(演唱会),http://em.21dtv.com/songs/60006861.mkv
林子祥+叶倩文-爱偏要别离,http://em.21dtv.com/songs/60008062.mkv
小心的哥哥们-Apple,http://em.21dtv.com/songs/60135136.mkv
昊麟-爱拼南安人,http://em.21dtv.com/songs/60118628.mkv
钟彩媚-阿婆的禾堂,http://em.21dtv.com/songs/60129695.mkv
大喇叭-爱拼才会赢,http://em.21dtv.com/songs/60132322.mkv
大喇叭组合-爱拼才会赢,http://em.21dtv.com/songs/60130216.mkv
吴灿涛-爱拼才会赢,http://em.21dtv.com/songs/60099871.mkv
齐秦+齐豫-爱拼才会赢,http://em.21dtv.com/songs/60098970.mkv
小凤凤-爱拼才会赢,http://em.21dtv.com/songs/60094556.mkv
叶振棠-爱拼才会赢,http://em.21dtv.com/songs/60077965.mkv
谢雷-爱拼才会赢(演唱会),http://em.21dtv.com/songs/60074420.mkv
应豪-爱拼才会赢,http://em.21dtv.com/songs/60055416.mkv
卓依婷+林正桦-爱拼才会赢,http://em.21dtv.com/songs/60008067.mkv
叶启田-爱拼才会赢,http://em.21dtv.com/songs/60008066.mkv
任贤齐-爱拼才会赢,http://em.21dtv.com/songs/60008065.mkv
黄乙玲-爱拼才会赢,http://em.21dtv.com/songs/60008064.mkv
草蜢-爱拼才会赢,http://em.21dtv.com/songs/60008063.mkv
佚名-any of us stupid mistake,http://em.21dtv.com/songs/60000308.mkv
P.H. WILLIAMS-an old fashioned love song(无原唱),http://em.21dtv.com/songs/60000238.mkv
佚名-another one bites the dust,http://em.21dtv.com/songs/60000294.mkv
黎瑞恩-爱你这样傻,http://em.21dtv.com/songs/60008051.mkv
吴倩莲-爱你这一场,http://em.21dtv.com/songs/60089734.mkv
陈绍瑀-爱你在心中,http://em.21dtv.com/songs/60008046.mkv
林宏铭-爱你在心内,http://em.21dtv.com/songs/60008045.mkv
赵紫轩-爱你在心里,http://em.21dtv.com/songs/60066801.mkv
晓依+大约冬季-爱你在心间,http://em.21dtv.com/songs/60106899.mkv
大约冬季+晓依-爱你在心间,http://em.21dtv.com/songs/60100819.mkv
任贤齐-爱你在伤口,http://em.21dtv.com/songs/60008039.mkv
小琢-爱你在身边,http://em.21dtv.com/songs/60117684.mkv
彭文华-爱你在秋天,http://em.21dtv.com/songs/60115940.mkv
余天-爱你这呢深,http://em.21dtv.com/songs/60008048.mkv
佚名-爱你这呢深,http://em.21dtv.com/songs/60008047.mkv
倪新宇-爱你怎么看,http://em.21dtv.com/songs/60074413.mkv
张凌枫-爱你在今天,http://em.21dtv.com/songs/60008035.mkv
李玲玉-爱你真好难,http://em.21dtv.com/songs/60008053.mkv
林二汶-爱你枕边暖,http://em.21dtv.com/songs/60008054.mkv
旺福乐团-爱你一兆年,http://em.21dtv.com/songs/60084821.mkv
陈伟霆+鹿晗-爱你一万年,http://em.21dtv.com/songs/60133035.mkv
卓依婷-爱你一万年,http://em.21dtv.com/songs/60116608.mkv
刘德华-爱你一万年(HD),http://em.21dtv.com/songs/10012629.mkv
伍佰+陈升-爱你一万年,http://em.21dtv.com/songs/60097635.mkv
杨丽-爱你一万年,http://em.21dtv.com/songs/60084820.mkv
王少峰-爱你一万年,http://em.21dtv.com/songs/60074411.mkv
刘若英-爱你一万年(演唱会),http://em.21dtv.com/songs/60074410.mkv
尤雅-爱你一万年,http://em.21dtv.com/songs/60008026.mkv
龙千玉-爱你一万年,http://em.21dtv.com/songs/60008025.mkv
刘德华-爱你一万年,http://em.21dtv.com/songs/60008024.mkv
韩宝仪-爱你一万年,http://em.21dtv.com/songs/60008023.mkv
办桌二人组-爱你一万年,http://em.21dtv.com/songs/60008022.mkv
伍佰-爱你一万年(演唱会),http://em.21dtv.com/songs/60008021.mkv
罗大佑+伍佰-爱你一万年(演唱会),http://em.21dtv.com/songs/60008020.mkv
刘德华-爱你一万年(演唱会),http://em.21dtv.com/songs/60008019.mkv
邓丽君-爱你一万倍,http://em.21dtv.com/songs/60008018.mkv
周逸涵-啊你呀谁哟,http://em.21dtv.com/songs/60065762.mkv
吕明银+游曜徽-爱你一世人,http://em.21dtv.com/songs/60127819.mkv
蔡佳麟-爱你一世人,http://em.21dtv.com/songs/60118885.mkv
萧煌奇-爱你一世人,http://em.21dtv.com/songs/60008016.mkv
高向鹏-爱你一世人,http://em.21dtv.com/songs/60008015.mkv
江明学-爱你用生命,http://em.21dtv.com/songs/60095718.mkv
蔡小虎+黄思婷-爱你用生命,http://em.21dtv.com/songs/60008030.mkv
陈冠茜-爱你又如何,http://em.21dtv.com/songs/60008032.mkv
蔡小虎+龙千玉-爱你一个人,http://em.21dtv.com/songs/60074409.mkv
山丁-爱能有多久,http://em.21dtv.com/songs/60119461.mkv
黎瑞恩-爱你一辈子,http://em.21dtv.com/songs/60008006.mkv
任贤齐-爱你永不忘,http://em.21dtv.com/songs/60090562.mkv
张可儿-爱你一百岁,http://em.21dtv.com/songs/60086412.mkv
晗月-安宁小夜曲,http://em.21dtv.com/songs/60009324.mkv
